Abc,Match,Name,Out/NotOut,Runs,Balls,4s,6s,SR,MatchId
3,south africa vs india,Rishabh Pant,Out,85,71,10,2,119.71,ODI no. 4346
4,south africa vs india,Shreyas Iyer,Out,11,14,0,0,78.57,ODI no. 4346
5,south africa vs india,Venkatesh Iyer,Out,22,33,0,1,66.66,ODI no. 4346
6,south africa vs india,Shardul Thakur,Not Out,40,38,3,1,105.26,ODI no. 4346
7,south africa vs india,Ravichandran Ashwin,Not Out,25,24,1,1,104.16,ODI no. 4346
0,south africa vs india,KL Rahul (c),Out,9,10,2,0,90.00,ODI no. 4349
1,south africa vs india,Shikhar Dhawan,Out,61,73,5,1,83.56,ODI no. 4349
2,south africa vs india,Virat Kohli,Out,65,84,5,0,77.38,ODI no. 4349
3,south africa vs india,Rishabh Pant,Out,0,1,0,0,0.00,ODI no. 4349
4,south africa vs india,Shreyas Iyer,Out,26,34,2,0,76.47,ODI no. 4349
5,south africa vs india,Suryakumar Yadav,Out,39,32,4,1,121.87,ODI no. 4349
6,south africa vs india,Deepak Chahar,Out,54,34,5,2,158.82,ODI no. 4349
7,south africa vs india,Jayant Yadav,Out,2,6,0,0,33.33,ODI no. 4349
8,south africa vs india,Jasprit Bumrah,Out,12,15,2,0,80.00,ODI no. 4349
9,south africa vs india,Yuzvendra Chahal,Out,2,6,0,0,33.33,ODI no. 4349
10,south africa vs india,Prasidh Krishna,Not Out,2,3,0,0,66.66,ODI no. 4349
0,india vs west indies,Rohit Sharma (c),Out,60,51,10,1,117.64,ODI no. 4353
1,india vs west indies,Ishan Kishan,Out,28,36,2,1,77.77,ODI no. 4353
2,india vs west indies,Virat Kohli,Out,8,4,2,0,200.00,ODI no. 4353
3,india vs west indies,Rishabh Pant,Out,11,9,2,0,122.22,ODI no. 4353
4,india vs west indies,Suryakumar Yadav,Not Out,34,36,5,0,94.44,ODI no. 4353
5,india vs west indies,Deepak Hooda,Not Out,26,32,2,0,81.25,ODI no. 4353
0,india vs west indies,Rohit Sharma (c),Out,5,8,0,0,62.50,ODI no. 4355
1,india vs west indies,Rishabh Pant,Out,18,34,3,0,52.94,ODI no. 4355
2,india vs west indies,Virat Kohli,Out,18,30,3,0,60.00,ODI no. 4355
3,india vs west indies,KL Rahul,Out,49,48,4,2,102.08,ODI no. 4355
4,india vs west indies,Suryakumar Yadav,Out,64,83,5,0,77.10,ODI no. 4355
5,india vs west indies,Washington Sundar,Out,24,41,1,0,58.53,ODI no. 4355
6,india vs west indies,Deepak Hooda,Out,29,25,2,0,116.00,ODI no. 4355
7,india vs west indies,Shardul Thakur,Out,8,15,1,0,53.33,ODI no. 4355
8,india vs west indies,Mohammed Siraj,Out,3,5,0,0,60.00,ODI no. 4355
9,india vs west indies,Yuzvendra Chahal,Not Out,11,10,1,0,110.00,ODI no. 4355
10,india vs west indies,Prasidh Krishna,Not Out,0,3,0,0,0.00,ODI no. 4355
0,india vs west indies,Rohit Sharma (c),Out,13,15,3,0,86.66,ODI no. 4356
1,india vs west indies,Shikhar Dhawan,Out,10,26,0,1,38.46,ODI no. 4356
2,india vs west indies,Virat Kohli,Out,0,2,0,0,0.00,ODI no. 4356
3,india vs west indies,Shreyas Iyer,Out,80,111,9,0,72.07,ODI no. 4356
4,india vs west indies,Rishabh Pant,Out,56,54,6,1,103.70,ODI no. 4356
5,india vs west indies,Suryakumar Yadav,Out,6,7,1,0,85.71,ODI no. 4356
6,india vs west indies,Washington Sundar,Out,33,34,2,1,97.05,ODI no. 4356
7,india vs west indies,Deepak Chahar,Out,38,38,4,2,100.00,ODI no. 4356
8,india vs west indies,Kuldeep Yadav,Out,5,8,0,0,62.50,ODI no. 4356
9,india vs west indies,Mohammed Siraj,Out,4,6,1,0,66.66,ODI no. 4356
10,india vs west indies,Prasidh Krishna,Not Out,0,0,0,0,-,ODI no. 4356
0,england vs india,Rohit Sharma (c),Not Out,76,58,7,5,131.03,ODI no. 4424
1,england vs india,Shikhar Dhawan,Not Out,31,54,4,0,57.40,ODI no. 4424
0,england vs india,Rohit Sharma (c),Out,0,10,0,0,0.00,ODI no. 4428
1,england vs india,Shikhar Dhawan,Out,9,26,1,0,34.61,ODI no. 4428
2,england vs india,Virat Kohli,Out,16,25,3,0,64.00,ODI no. 4428
3,england vs india,Rishabh Pant,Out,0,5,0,0,0.00,ODI no. 4428
4,england vs india,Suryakumar Yadav,Out,27,29,1,1,93.10,ODI no. 4428
5,england vs india,Hardik Pandya,Out,29,44,2,0,65.90,ODI no. 4428
6,england vs india,Ravindra Jadeja,Out,29,44,1,1,65.90,ODI no. 4428
7,england vs india,Mohammed Shami,Out,23,28,2,1,82.14,ODI no. 4428
8,england vs india,Jasprit Bumrah,Not Out,2,6,0,0,33.33,ODI no. 4428
9,england vs india,Yuzvendra Chahal,Out,3,13,0,0,23.07,ODI no. 4428
10,england vs india,Prasidh Krishna,Out,0,3,0,0,0.00,ODI no. 4428
0,england vs india,Rohit Sharma (c),Out,17,17,4,0,100.00,ODI no. 4433
1,england vs india,Shikhar Dhawan,Out,1,3,0,0,33.33,ODI no. 4433
2,england vs india,Virat Kohli,Out,17,22,3,0,77.27,ODI no. 4433
3,england vs india,Rishabh Pant,Not Out,125,113,16,2,110.61,ODI no. 4433
4,england vs india,Suryakumar Yadav,Out,16,28,1,0,57.14,ODI no. 4433
5,england vs india,Hardik Pandya,Out,71,55,10,0,129.09,ODI no. 4433
6,england vs india,Ravindra Jadeja,Not Out,7,15,0,0,46.66,ODI no. 4433
0,west indies vs india,Shikhar Dhawan (c),Out,97,99,10,3,97.97,ODI no. 4436
1,west indies vs india,Shubman Gill,Out,64,53,6,2,120.75,ODI no. 4436
2,west indies vs india,Shreyas Iyer,Out,54,57,5,2,94.73,ODI no. 4436
3,west indies vs india,Suryakumar Yadav,Out,13,14,2,0,92.85,ODI no. 4436
4,west indies vs india,Sanju Samson,Out,12,18,0,1,66.66,ODI no. 4436
5,west indies vs india,Deepak Hooda,Out,27,32,1,1,84.37,ODI no. 4436
6,west indies vs india,Axar Patel,Out,21,21,1,1,100.00,ODI no. 4436
7,west indies vs india,Shardul Thakur,Not Out,7,5,1,0,140.00,ODI no. 4436
8,west indies vs india,Mohammed Siraj,Not Out,1,2,0,0,50.00,ODI no. 4436
0,west indies vs india,Shikhar Dhawan (c),Out,13,31,0,0,41.93,ODI no. 4438
1,west indies vs india,Shubman Gill,Out,43,49,5,0,87.75,ODI no. 4438
2,west indies vs india,Shreyas Iyer,Out,63,71,4,1,88.73,ODI no. 4438
3,west indies vs india,Suryakumar Yadav,Out,9,8,0,1,112.50,ODI no. 4438
4,west indies vs india,Sanju Samson,Out,54,51,3,3,105.88,ODI no. 4438
5,west indies vs india,Deepak Hooda,Out,33,36,2,0,91.66,ODI no. 4438
6,west indies vs india,Axar Patel,Not Out,64,35,3,5,182.85,ODI no. 4438
7,west indies vs india,Shardul Thakur,Out,3,6,0,0,50.00,ODI no. 4438
8,west indies vs india,Avesh Khan,Out,10,12,2,0,83.33,ODI no. 4438
9,west indies vs india,Mohammed Siraj,Not Out,1,1,0,0,100.00,ODI no. 4438
0,west indies vs india,Shikhar Dhawan (c),Out,58,74,7,0,78.37,ODI no. 4439
1,west indies vs india,Shubman Gill,Not Out,98,98,7,2,100.00,ODI no. 4439
2,west indies vs india,Shreyas Iyer,Out,44,34,4,1,129.41,ODI no. 4439
3,west indies vs india,Suryakumar Yadav,Out,8,6,1,0,133.33,ODI no. 4439
4,west indies vs india,Sanju Samson,Not Out,6,7,0,0,85.71,ODI no. 4439
0,zimbabwe vs india,Shikhar Dhawan,Not Out,81,113,9,0,71.68,ODI no. 4451
1,zimbabwe vs india,Shubman Gill,Not Out,82,72,10,1,113.88,ODI no. 4451
0,zimbabwe vs india,Shikhar Dhawan,Out,33,21,4,0,157.14,ODI no. 4454
1,zimbabwe vs india,KL Rahul (c),Out,1,5,0,0,20.00,ODI no. 4454
2,zimbabwe vs india,Shubman Gill,Out,33,34,6,0,97.05,ODI no. 4454
3,zimbabwe vs india,Ishan Kishan,Out,6,13,0,0,46.15,ODI no. 4454
4,zimbabwe vs india,Deepak Hooda,Out,25,36,3,0,69.44,ODI no. 4454
5,zimbabwe vs india,Sanju Samson,Not Out,43,39,3,4,110.25,ODI no. 4454
6,zimbabwe vs india,Axar Patel,Not Out,6,7,1,0,85.71,ODI no. 4454
0,zimbabwe vs india,Shikhar Dhawan,Out,40,68,5,0,58.82,ODI no. 4457
1,zimbabwe vs india,KL Rahul (c),Out,30,46,1,1,65.21,ODI no. 4457
2,zimbabwe vs india,Shubman Gill,Out,130,97,15,1,134.02,ODI no. 4457
3,zimbabwe vs india,Ishan Kishan,Out,50,61,6,0,81.96,ODI no. 4457
4,zimbabwe vs india,Deepak Hooda,Out,1,3,0,0,33.33,ODI no. 4457
5,zimbabwe vs india,Sanju Samson,Out,15,13,0,2,115.38,ODI no. 4457
6,zimbabwe vs india,Axar Patel,Out,1,4,0,0,25.00,ODI no. 4457
7,zimbabwe vs india,Shardul Thakur,Out,9,6,2,0,150.00,ODI no. 4457
8,zimbabwe vs india,Deepak Chahar,Not Out,1,1,0,0,100.00,ODI no. 4457
9,zimbabwe vs india,Kuldeep Yadav,Not Out,2,2,0,0,100.00,ODI no. 4457
0,india vs south africa,Shikhar Dhawan (c),Out,4,16,0,0,25.00,ODI no. 4470
1,india vs south africa,Shubman Gill,Out,3,7,0,0,42.85,ODI no. 4470
2,india vs south africa,Ruturaj Gaikwad,Out,19,42,1,0,45.23,ODI no. 4470
3,india vs south africa,Ishan Kishan,Out,20,37,3,0,54.05,ODI no. 4470
4,india vs south africa,Shreyas Iyer,Out,50,37,8,0,135.13,ODI no. 4470
5,india vs south africa,Sanju Samson,Not Out,86,63,9,3,136.50,ODI no. 4470
6,india vs south africa,Shardul Thakur,Out,33,31,5,0,106.45,ODI no. 4470
7,india vs south africa,Kuldeep Yadav,Out,0,1,0,0,0.00,ODI no. 4470
8,india vs south africa,Avesh Khan,Out,3,6,0,0,50.00,ODI no. 4470
9,india vs south africa,Ravi Bishnoi,Not Out,4,2,1,0,200.00,ODI no. 4470
0,india vs south africa,Shikhar Dhawan (c),Out,13,20,0,1,65.00,ODI no. 4471
1,india vs south africa,Shubman Gill,Out,28,26,5,0,107.69,ODI no. 4471
2,india vs south africa,Ishan Kishan,Out,93,84,4,7,110.71,ODI no. 4471
3,india vs south africa,Shreyas Iyer,Not Out,113,111,15,0,101.80,ODI no. 4471
4,india vs south africa,Sanju Samson,Not Out,30,36,1,1,83.33,ODI no. 4471
0,india vs south africa,Shikhar Dhawan (c),Out,8,14,1,0,57.14,ODI no. 4472
1,india vs south africa,Shubman Gill,Out,49,57,8,0,85.96,ODI no. 4472
2,india vs south africa,Ishan Kishan,Out,10,18,2,0,55.55,ODI no. 4472
3,india vs south africa,Shreyas Iyer,Not Out,28,23,3,2,121.73,ODI no. 4472
4,india vs south africa,Sanju Samson,Not Out,2,4,0,0,50.00,ODI no. 4472
0,new zealand vs india,Shikhar Dhawan (c),Out,72,77,13,0,93.50,ODI no. 4483
1,new zealand vs india,Shubman Gill,Out,50,65,1,3,76.92,ODI no. 4483
2,new zealand vs india,Shreyas Iyer,Out,80,76,4,4,105.26,ODI no. 4483
3,new zealand vs india,Rishabh Pant,Out,15,23,2,0,65.21,ODI no. 4483
4,new zealand vs india,Suryakumar Yadav,Out,4,3,1,0,133.33,ODI no. 4483
5,new zealand vs india,Sanju Samson,Out,36,38,4,0,94.73,ODI no. 4483
6,new zealand vs india,Washington Sundar,Not Out,37,16,3,3,231.25,ODI no. 4483
7,new zealand vs india,Shardul Thakur,Out,1,2,0,0,50.00,ODI no. 4483
0,new zealand vs india,Shikhar Dhawan (c),Out,3,10,0,0,30.00,ODI no. 4487
1,new zealand vs india,Shubman Gill,Not Out,45,42,4,1,107.14,ODI no. 4487
2,new zealand vs india,Suryakumar Yadav,Not Out,34,25,2,3,136.00,ODI no. 4487
0,new zealand vs india,Shikhar Dhawan (c),Out,28,45,3,1,62.22,ODI no. 4489
1,new zealand vs india,Shubman Gill,Out,13,22,2,0,59.09,ODI no. 4489
2,new zealand vs india,Shreyas Iyer,Out,49,59,8,0,83.05,ODI no. 4489
3,new zealand vs india,Rishabh Pant,Out,10,16,2,0,62.50,ODI no. 4489
4,new zealand vs india,Suryakumar Yadav,Out,6,10,0,0,60.00,ODI no. 4489
5,new zealand vs india,Deepak Hooda,Out,12,25,0,0,48.00,ODI no. 4489
6,new zealand vs india,Washington Sundar,Out,51,64,5,1,79.68,ODI no. 4489
7,new zealand vs india,Deepak Chahar,Out,12,9,0,2,133.33,ODI no. 4489
8,new zealand vs india,Yuzvendra Chahal,Out,8,22,0,0,36.36,ODI no. 4489
9,new zealand vs india,Arshdeep Singh,Out,9,9,0,1,100.00,ODI no. 4489
10,new zealand vs india,Umran Malik,Not Out,0,4,0,0,0.00,ODI no. 4489
0,bangladesh vs india,Rohit Sharma (c),Out,27,31,4,1,87.09,ODI no. 4493
1,bangladesh vs india,Shikhar Dhawan,Out,7,17,1,0,41.17,ODI no. 4493
2,bangladesh vs india,Virat Kohli,Out,9,15,1,0,60.00,ODI no. 4493
3,bangladesh vs india,Shreyas Iyer,Out,24,39,2,0,61.53,ODI no. 4493
4,bangladesh vs india,KL Rahul,Out,73,70,5,4,104.28,ODI no. 4493
5,bangladesh vs india,Washington Sundar,Out,19,43,0,0,44.18,ODI no. 4493
6,bangladesh vs india,Shahbaz Ahmed,Out,0,4,0,0,0.00,ODI no. 4493
7,bangladesh vs india,Shardul Thakur,Out,2,3,0,0,66.66,ODI no. 4493
8,bangladesh vs india,Deepak Chahar,Out,0,3,0,0,0.00,ODI no. 4493
9,bangladesh vs india,Mohammed Siraj,Out,9,20,1,0,45.00,ODI no. 4493
10,bangladesh vs india,Kuldeep Sen,Not Out,2,4,0,0,50.00,ODI no. 4493
0,bangladesh vs india,Virat Kohli,Out,5,6,1,0,83.33,ODI no. 4496
1,bangladesh vs india,Shikhar Dhawan,Out,8,10,1,0,80.00,ODI no. 4496
2,bangladesh vs india,Shreyas Iyer,Out,82,102,6,3,80.39,ODI no. 4496
3,bangladesh vs india,Washington Sundar,Out,11,19,1,0,57.89,ODI no. 4496
4,bangladesh vs india,KL Rahul,Out,14,28,0,0,50.00,ODI no. 4496
5,bangladesh vs india,Axar Patel,Out,56,56,2,3,100.00,ODI no. 4496
6,bangladesh vs india,Shardul Thakur,Out,7,23,0,0,30.43,ODI no. 4496
7,bangladesh vs india,Deepak Chahar,Out,11,18,0,1,61.11,ODI no. 4496
8,bangladesh vs india,Rohit Sharma (c),Not Out,51,28,3,5,182.14,ODI no. 4496
9,bangladesh vs india,Mohammed Siraj,Out,2,12,0,0,16.66,ODI no. 4496
10,bangladesh vs india,Umran Malik,Not Out,0,0,0,0,-,ODI no. 4496
0,bangladesh vs india,Shikhar Dhawan,Out,3,8,0,0,37.50,ODI no. 4499
1,bangladesh vs india,Ishan Kishan,Out,210,131,24,10,160.30,ODI no. 4499
2,bangladesh vs india,Virat Kohli,Out,113,91,11,2,124.17,ODI no. 4499
3,bangladesh vs india,Shreyas Iyer,Out,3,6,0,0,50.00,ODI no. 4499
4,bangladesh vs india,KL Rahul (c),Out,8,10,1,0,80.00,ODI no. 4499
5,bangladesh vs india,Washington Sundar,Out,37,27,4,1,137.03,ODI no. 4499
6,bangladesh vs india,Axar Patel,Out,20,17,1,1,117.64,ODI no. 4499
7,bangladesh vs india,Shardul Thakur,Out,3,5,0,0,60.00,ODI no. 4499
8,bangladesh vs india,Kuldeep Yadav,Not Out,3,3,0,0,100.00,ODI no. 4499
9,bangladesh vs india,Mohammed Siraj,Not Out,0,2,0,0,0.00,ODI no. 4499
0,india vs sri lanka,Rohit Sharma (c),Out,83,67,9,3,123.88,ODI no. 4501
1,india vs sri lanka,Shubman Gill,Out,70,60,11,0,116.66,ODI no. 4501
2,india vs sri lanka,Virat Kohli,Out,113,87,12,1,129.88,ODI no. 4501
3,india vs sri lanka,Shreyas Iyer,Out,28,24,3,1,116.66,ODI no. 4501
4,india vs sri lanka,KL Rahul,Out,39,29,4,1,134.48,ODI no. 4501
5,india vs sri lanka,Hardik Pandya,Out,14,12,0,1,116.66,ODI no. 4501
6,india vs sri lanka,Axar Patel,Out,9,9,0,0,100.00,ODI no. 4501
7,india vs sri lanka,Mohammed Shami,Not Out,4,4,0,0,100.00,ODI no. 4501
8,india vs sri lanka,Mohammed Siraj,Not Out,7,8,0,0,87.50,ODI no. 4501
0,india vs sri lanka,Rohit Sharma (c),Out,17,21,2,1,80.95,ODI no. 4503
1,india vs sri lanka,Shubman Gill,Out,21,12,5,0,175.00,ODI no. 4503
2,india vs sri lanka,Virat Kohli,Out,4,9,1,0,44.44,ODI no. 4503
3,india vs sri lanka,Shreyas Iyer,Out,28,33,5,0,84.84,ODI no. 4503
4,india vs sri lanka,KL Rahul,Not Out,64,103,6,0,62.13,ODI no. 4503
5,india vs sri lanka,Hardik Pandya,Out,36,53,4,0,67.92,ODI no. 4503
6,india vs sri lanka,Axar Patel,Out,21,21,1,1,100.00,ODI no. 4503
7,india vs sri lanka,Kuldeep Yadav,Not Out,10,10,2,0,100.00,ODI no. 4503
0,india vs sri lanka,Rohit Sharma (c),Out,42,49,2,3,85.71,ODI no. 4505
1,india vs sri lanka,Shubman Gill,Out,116,97,14,2,119.58,ODI no. 4505
2,india vs sri lanka,Virat Kohli,Not Out,166,110,13,8,150.90,ODI no. 4505
3,india vs sri lanka,Shreyas Iyer,Out,38,32,2,1,118.75,ODI no. 4505
4,india vs sri lanka,KL Rahul,Out,7,6,1,0,116.66,ODI no. 4505
5,india vs sri lanka,Suryakumar Yadav,Out,4,4,0,0,100.00,ODI no. 4505
6,india vs sri lanka,Axar Patel,Not Out,2,2,0,0,100.00,ODI no. 4505
0,india vs new zealand,Rohit Sharma (c),Out,34,38,4,2,89.47,ODI no. 4507
1,india vs new zealand,Shubman Gill,Out,208,149,19,9,139.59,ODI no. 4507
2,india vs new zealand,Virat Kohli,Out,8,10,1,0,80.00,ODI no. 4507
3,india vs new zealand,Ishan Kishan,Out,5,14,0,0,35.71,ODI no. 4507
4,india vs new zealand,Suryakumar Yadav,Out,31,26,4,0,119.23,ODI no. 4507
5,india vs new zealand,Hardik Pandya,Out,28,38,3,0,73.68,ODI no. 4507
6,india vs new zealand,Washington Sundar,Out,12,14,0,0,85.71,ODI no. 4507
7,india vs new zealand,Shardul Thakur,Out,3,3,0,0,100.00,ODI no. 4507
8,india vs new zealand,Kuldeep Yadav,Not Out,5,6,0,0,83.33,ODI no. 4507
9,india vs new zealand,Mohammed Shami,Not Out,2,2,0,0,100.00,ODI no. 4507
0,india vs new zealand,Rohit Sharma (c),Out,51,50,7,2,102.00,ODI no. 4509
1,india vs new zealand,Shubman Gill,Not Out,40,53,6,0,75.47,ODI no. 4509
2,india vs new zealand,Virat Kohli,Out,11,9,2,0,122.22,ODI no. 4509
3,india vs new zealand,Ishan Kishan,Not Out,8,9,2,0,88.88,ODI no. 4509
0,india vs new zealand,Rohit Sharma (c),Out,101,85,9,6,118.82,ODI no. 4511
1,india vs new zealand,Shubman Gill,Out,112,78,13,5,143.58,ODI no. 4511
2,india vs new zealand,Virat Kohli,Out,36,27,3,1,133.33,ODI no. 4511
3,india vs new zealand,Ishan Kishan,Out,17,24,1,1,70.83,ODI no. 4511
4,india vs new zealand,Suryakumar Yadav,Out,14,9,0,2,155.55,ODI no. 4511
5,india vs new zealand,Hardik Pandya,Out,54,38,3,3,142.10,ODI no. 4511
6,india vs new zealand,Washington Sundar,Out,9,14,1,0,64.28,ODI no. 4511
7,india vs new zealand,Shardul Thakur,Out,25,17,3,1,147.05,ODI no. 4511
8,india vs new zealand,Kuldeep Yadav,Out,3,3,0,0,100.00,ODI no. 4511
9,india vs new zealand,Umran Malik,Not Out,2,5,0,0,40.00,ODI no. 4511
0,india vs australia,Ishan Kishan,Out,3,8,0,0,37.50,ODI no. 4538
1,india vs australia,Shubman Gill,Out,20,31,3,0,64.51,ODI no. 4538
2,india vs australia,Virat Kohli,Out,4,9,1,0,44.44,ODI no. 4538
3,india vs australia,Suryakumar Yadav,Out,0,1,0,0,0.00,ODI no. 4538
4,india vs australia,KL Rahul,Not Out,75,91,7,1,82.41,ODI no. 4538
5,india vs australia,Hardik Pandya (c),Out,25,31,3,1,80.64,ODI no. 4538
6,india vs australia,Ravindra Jadeja,Not Out,45,69,5,0,65.21,ODI no. 4538
0,india vs australia,Rohit Sharma (c),Out,13,15,2,0,86.66,ODI no. 4541
1,india vs australia,Shubman Gill,Out,0,2,0,0,0.00,ODI no. 4541
2,india vs australia,Virat Kohli,Out,31,35,4,0,88.57,ODI no. 4541
3,india vs australia,Suryakumar Yadav,Out,0,1,0,0,0.00,ODI no. 4541
4,india vs australia,KL Rahul,Out,9,12,1,0,75.00,ODI no. 4541
5,india vs australia,Hardik Pandya,Out,1,3,0,0,33.33,ODI no. 4541
6,india vs australia,Ravindra Jadeja,Out,16,39,1,0,41.02,ODI no. 4541
7,india vs australia,Axar Patel,Not Out,29,29,1,2,100.00,ODI no. 4541
8,india vs australia,Kuldeep Yadav,Out,4,17,0,0,23.52,ODI no. 4541
9,india vs australia,Mohammed Shami,Out,0,1,0,0,0.00,ODI no. 4541
10,india vs australia,Mohammed Siraj,Out,0,3,0,0,0.00,ODI no. 4541
0,india vs australia,Rohit Sharma (c),Out,30,17,2,2,176.47,ODI no. 4545
1,india vs australia,Shubman Gill,Out,37,49,4,1,75.51,ODI no. 4545
2,india vs australia,Virat Kohli,Out,54,72,2,1,75.00,ODI no. 4545
3,india vs australia,KL Rahul,Out,32,50,2,1,64.00,ODI no. 4545
4,india vs australia,Axar Patel,Out,2,4,0,0,50.00,ODI no. 4545
5,india vs australia,Hardik Pandya,Out,40,40,3,1,100.00,ODI no. 4545
6,india vs australia,Suryakumar Yadav,Out,0,1,0,0,0.00,ODI no. 4545
7,india vs australia,Ravindra Jadeja,Out,18,33,1,0,54.54,ODI no. 4545
8,india vs australia,Kuldeep Yadav,Out,6,15,0,0,40.00,ODI no. 4545
9,india vs australia,Mohammed Shami,Out,14,10,1,1,140.00,ODI no. 4545
10,india vs australia,Mohammed Siraj,Not Out,3,5,0,0,60.00,ODI no. 4545
0,west indies vs india,Ishan Kishan,Out,52,46,7,1,113.04,ODI no. 4622
1,west indies vs india,Shubman Gill,Out,7,16,1,0,43.75,ODI no. 4622
2,west indies vs india,Suryakumar Yadav,Out,19,25,3,1,76.00,ODI no. 4622
3,west indies vs india,Hardik Pandya,Out,5,7,0,0,71.42,ODI no. 4622
4,west indies vs india,Ravindra Jadeja,Not Out,16,21,1,0,76.19,ODI no. 4622
5,west indies vs india,Shardul Thakur,Out,1,4,0,0,25.00,ODI no. 4622
6,west indies vs india,Rohit Sharma (c),Not Out,12,19,2,0,63.15,ODI no. 4622
0,west indies vs india,Ishan Kishan,Out,55,55,6,1,100.00,ODI no. 4623
1,west indies vs india,Shubman Gill,Out,34,49,5,0,69.38,ODI no. 4623
2,west indies vs india,Sanju Samson,Out,9,19,0,0,47.36,ODI no. 4623
3,west indies vs india,Axar Patel,Out,1,8,0,0,12.50,ODI no. 4623
4,west indies vs india,Hardik Pandya (c),Out,7,14,0,0,50.00,ODI no. 4623
5,west indies vs india,Suryakumar Yadav,Out,24,25,3,0,96.00,ODI no. 4623
6,west indies vs india,Ravindra Jadeja,Out,10,21,0,0,47.61,ODI no. 4623
7,west indies vs india,Shardul Thakur,Out,16,22,2,0,72.72,ODI no. 4623
8,west indies vs india,Kuldeep Yadav,Not Out,8,23,1,0,34.78,ODI no. 4623
9,west indies vs india,Umran Malik,Out,0,2,0,0,0.00,ODI no. 4623
10,west indies vs india,Mukesh Kumar,Out,6,7,1,0,85.71,ODI no. 4623
0,west indies vs india,Ishan Kishan,Out,77,64,8,3,120.31,ODI no. 4624
1,west indies vs india,Shubman Gill,Out,85,92,11,0,92.39,ODI no. 4624
2,west indies vs india,Ruturaj Gaikwad,Out,8,14,1,0,57.14,ODI no. 4624
3,west indies vs india,Sanju Samson,Out,51,41,2,4,124.39,ODI no. 4624
4,west indies vs india,Hardik Pandya (c),Not Out,70,52,4,5,134.61,ODI no. 4624
5,west indies vs india,Suryakumar Yadav,Out,35,30,2,2,116.66,ODI no. 4624
6,west indies vs india,Ravindra Jadeja,Not Out,8,7,0,0,114.28,ODI no. 4624
